tokens,time- exitRight,time- exitLeft,,,,,,,,,,,
1,6.5549,2.6581,,,,,,,,,,,
2,7.5589,3.1055,,,,,,,,,,,
3,18.77,7.1792,,,,,,,,,,,
4,20.1421,7.3112,,,,,,,,,,,
5,20.1601,11.3713,,,,,,,,,,,
6,20.2711,11.9868,,,,,,,,,,,
7,21.0405,14.9236,,,,,,,,,,,
8,28.2804,16.6323,,,,,,,,,,,
9,29.3288,23.0175,,,,,,,,,,,
10,29.3387,26.1963,,,,,,,,,,,
11,29.978,26.4741,,,,,,,,,,,
12,30.158,26.5416,,,,,,,,,,,
13,30.5002,27.4993,,,,,,,,,,,
14,32.1191,28.3178,,,,,,,,,,,
15,34.2789,28.7169,,,,,,,,,,,
16,36.4911,29.2342,,,,,,,,,,,
17,36.8509,31.451,,,,,,,,,,,
18,37.6555,32.8703,,,,,,,,,,,
19,39.0812,32.9766,,,,,,,,,,,
20,39.659,33.9379,,,,,,,,,,,
21,41.0685,33.9757,,,,,,,,,,,
22,43.5138,35.7229,,,,,,,,,,,
23,43.7913,38.3208,,,,,,,,,,,
24,51.6923,39.5595,,,,,,,,,,,
25,53.2637,45.5946,,,,,,,,,,,
26,54.551,45.6176,,,,,,,,,,,
27,61.7538,47.9344,,,,,,,,,,,
28,63.7343,53.2097,,,,,,,,,,,
29,65.7843,54.9399,,,,,,,,,,,
30,66.5839,57.7386,,,,,,,,,,,
31,66.6383,61.2775,,,,,,,,,,,
32,68.5228,61.7236,,,,,,,,,,,
33,69.1742,63.8312,,,,,,,,,,,
34,71.2848,65.172,,,,,,,,,,,
35,72.4701,66.2199,,,,,,,,,,,
36,73.9953,134.7949,,,,,,,,,,,
37,74.6097,137.0262,,,,,,,,,,,
38,77.5411,153.5273,,,,,,,,,,,
39,77.9275,159.1392,,,,,,,,,,,
40,78.7182,161.4142,,,,,,,,,,,
41,80.018,235.8667,,,,,,,,,,,
42,81.255,247.2182,,,,,,,,,,,
43,81.7772,274.5395,,,,,,,,,,,
44,82.4335,291.5898,,,,,,,,,,,
45,85.8248,301.4855,,,,,,,,,,,
46,89.6845,303.0676,,,,,,,,,,,
47,90.9028,333.1557,,,,,,,,,,,
48,91.3801,372.1178,,,,,,,,,,,
49,93.9904,400.5379,,,,,,,,,,,
50,95.6314,439.2174,,,,,,,,,,,
51,96.2568,465.2459,,,,,,,,,,,
52,98.681,549.2973,,,,,,,,,,,
53,100.6184,566.1879,,,,,,,,,,,
54,102.6238,574.0164,,,,,,,,,,,
55,102.6634,589.5604,,,,,,,,,,,
56,103.6042,592.7518,,,,,,,,,,,
57,105.5292,601.6129,,,,,,,,,,,
58,106.068,633.5502,,,,,,,,,,,
59,109.0746,646.1691,,,,,,,,,,,
60,109.753,675.0242,,,,,,,,,,,
61,111.7059,678.7993,,,,,,,,,,,
62,111.9575,691.7817,,,,,,,,,,,
63,112.3464,716.7894,,,,,,,,,,,
64,112.8573,717.6743,,,,,,,,,,,
65,114.1157,750.8767,,,,,,,,,,,
66,115.81,755.5046,,,,,,,,,,,
67,117.0213,763.6015,,,,,,,,,,,
68,117.5138,873.3265,,,,,,,,,,,
69,120.1574,878.4747,,,,,,,,,,,
70,120.3638,909.0124,,,,,,,,,,,
71,122.8156,937.9278,,,,,,,,,,,
72,123.3147,993.9972,,,,,,,,,,,
73,125.3564,1043.4039,,,,,,,,,,,
74,125.5601,1046.2645,,,,,,,,,,,
75,126.9399,1071.8134,,,,,,,,,,,
76,127.422,1179.0851,,,,,,,,,,,
77,129.9529,1181.9036,,,,,,,,,,,
78,131.9195,1200.0872,,,,,,,,,,,
79,132.3366,1225.7656,,,,,,,,,,,
80,132.4655,1258.0812,,,,,,,,,,,
81,132.6202,1267.4935,,,,,,,,,,,
82,132.7521,1279.1496,,,,,,,,,,,
83,133.823,1314.9724,,,,,,,,,,,
84,134.2042,1332.8448,,,,,,,,,,,
85,134.501,1339.3636,,,,,,,,,,,
86,134.9209,1343.9769,,,,,,,,,,,
87,136.1738,1397.0544,,,,,,,,,,,
88,137.8581,1414.9926,,,,,,,,,,,
89,138.9877,1445.2208,,,,,,,,,,,
90,145.6913,1525.239,,,,,,,,,,,
91,146.2874,1538.3138,,,,,,,,,,,
92,147.8845,1555.9454,,,,,,,,,,,
93,149.4076,1562.7861,,,,,,,,,,,
94,153.8691,1575.4553,,,,,,,,,,,
95,154.485,1610.2039,,,,,,,,,,,
96,157.4284,1624.6368,,,,,,,,,,,
97,160.1964,1626.5492,,,,,,,,,,,
98,160.5805,1647.5105,,,,,,,,,,,
99,161.1819,1678.3568,,,,,,,,,,,
100,163.6369,1785.3155,,,,,,,,,,,
101,164.5453,1796.9441,,,,,,,,,,,
102,166.7845,1829.1392,,,,,,,,,,,
103,166.8635,1831.8851,,,,,,,,,,,
104,171.7296,1870.2438,,,,,,,,,,,
105,172.5492,1916.343,,,,,,,,,,,
106,173.0885,1924.0964,,,,,,,,,,,
107,174.2172,1956.8971,,,,,,,,,,,
108,174.2609,1995.6471,,,,,,,,,,,
109,175.5701,1999.0041,,,,,,,,,,,
110,176.797,2043.8383,,,,,,,,,,,
111,177.1517,2074.9926,,,,,,,,,,,
