tokens,time- exitRight,time- exitLeft
1,5.2237,13.9911
2,5.8195,15.148
3,8.2815,15.8977
4,9.5149,17.6719
5,10.5797,18.0658
6,15.8133,20.9086
7,21.4878,22.9822
8,26.6439,26.3732
9,28.818,30.712
10,29.5047,34.6437
11,29.6085,36.9882
12,29.8917,37.5347
13,30.6431,38.8757
14,31.0976,39.1279
15,32.1066,42.8861
16,35.8639,45.6758
17,35.9759,47.4605
18,36.3651,49.0591
19,36.4541,50.2354
20,36.5406,52.4124
21,39.0544,53.7396
22,39.2934,53.8943
23,39.7487,55.0087
24,40.3003,57.3185
25,40.8463,57.8845
26,41.9661,58.5666
27,43.5095,58.6983
28,47.3207,61.453
29,48.1364,61.7057
30,50.1102,63.1935
31,50.5441,63.8933
32,55.2887,65.1972
33,55.6115,68.6325
34,55.9872,69.7863
35,58.9465,70.1346
36,60.4217,70.5929
37,61.7291,71.6954
38,61.9629,73.4374
39,64.0111,75.2215
40,64.9974,76.8185
41,65.0812,77.4366
42,65.5728,82.5978
43,65.8005,82.6375
44,65.8636,88.3578
45,65.9624,88.8652
46,67.3122,88.9584
47,67.5729,90.1471
48,73.1819,90.5403
49,73.2937,90.9537
50,73.6042,91.997
51,73.7831,94.2084
52,74.6657,94.2529
53,75.4941,94.6241
54,78.517,97.3134
55,80.9529,97.3498
56,83.8301,99.9273
57,85.8658,99.9893
58,87.427,100.5192
59,87.6811,103.4445
60,90.74,103.8125
61,94.1499,105.0336
62,94.6811,105.3303
63,94.9043,108.9332
64,97.0221,111.5731
65,98.0187,112.0513
66,102.3789,113.1285
67,106.1913,115.4472
68,108.5576,117.4999
69,108.6205,117.7234
70,108.6695,117.9144
71,110.0526,118.0391
72,115.4483,119.5831
73,121.982,119.8815
74,124.1733,122.7631
75,124.6567,123.4172
76,124.8647,125.4383
77,127.4255,125.4988
78,128.1248,125.8148
79,128.7709,129.398
80,129.1691,130.0059
81,129.9173,130.2155
82,130.1569,130.2219
83,133.0751,130.7911
84,133.5029,131.0006
85,134.2609,131.143
86,134.3027,133.9476
87,135.0737,135.5514
88,136.0589,136.2184
89,136.1226,138.0441
90,136.1948,138.6274
91,136.4237,139.8754
92,137.6477,141.8501
93,137.9984,145.0165
94,142.4869,151.0788
95,142.9036,151.431
96,143.619,159.3715
97,143.6281,159.5165
98,143.8756,161.1273
99,144.5229,164.2559
100,147.1822,166.7023
101,154.0167,168.655
102,154.0557,169.1153
103,156.0462,170.0258
104,156.2089,170.777
105,156.7701,170.8333
106,157.6841,173.1523
107,158.5741,175.0135
108,163.6323,175.5592
109,165.3823,181.7351
110,165.8551,183.3556
111,165.9415,186.3068
112,168.6638,191.5873
113,169.0515,193.8018
114,172.6989,195.163
115,173.9478,200.2904
116,174.2661,202.0075
117,174.5028,226.0886
118,175.0784,237.4763
119,175.3543,283.1983
120,175.9692,328.9934
121,177.2461,337.5606
122,178.4107,395.7306
123,182.5685,417.2451
124,182.7145,528.2568
125,182.8756,534.3256
126,183.0771,538.2162
127,183.7119,556.6145
128,184.6336,562.2185
129,190.0116,623.9103
130,192.1023,641.3257
131,193.3243,691.654
132,200.5911,757.3902
133,215.0939,775.261
134,221.5048,783.6658
135,236.8277,785.3267
136,257.9131,849.7824
137,300.1087,853.8891
138,352.2901,928.7435
139,362.2939,933.2987
140,371.5739,956.0639
141,380.8204,961.2337
142,441.5942,965.7267
143,473.578,1012.8123
144,480.9606,1049.8787
145,483.149,1060.6406
146,516.7503,1067.648
147,555.1305,1069.0673
148,578.0938,1088.4546
149,655.966,1108.3744
150,662.8423,1161.6945
151,667.7513,1209.2313
152,673.4643,1218.3482
153,677.1289,1246.0062
154,710.945,1316.9733
155,729.9345,1331.4891
156,744.7574,1343.3954
157,776.9595,1359.6667
158,798.6289,1438.2433
159,843.3749,1444.6279
160,860.0008,1445.0116
161,921.9287,1457.1927
162,950.6805,1459.2231
163,972.1138,1486.1067
164,983.9285,1508.3641
165,1013.9719,1512.1623
166,1065.5186,1520.2121
167,1069.8881,1521.0475
168,1080.6242,1534.6127
169,1106.4106,1555.004
170,1133.0426,1562.7918
171,1154.1943,1587.82
172,1155.5897,1602.9276
173,1159.1864,1724.5581
174,1167.741,1776.3397
175,1172.8503,1840.8146
176,1173.076,1856.3263
